"data18_rank_cont"
75
86
92
73
21
18
35
44
99
20
120
82
103
63
80
46
49
129
94
116
14
110
135
33
27
66
126
47
74
64
31
12
104
97
100
109
29
108
10
22
117
67
5
111
87
84
119
128
96
6
60
28
40
36
69
24
16
43
70
9
65
57
91
26
52
102
98
54
105
131
134
41
19
121
132
23
123
37
133
45
51
89
101
77
71
136
90
88
4
13
93
125
11
62
115
50
112
72
56
39
42
25
68
38
58
30
106
78
107
130
3
59
48
61
34
85
122
7
1
15
79
113
32
83
95
53
114
81
17
8
2
76
127
55
137
118
124
