"Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahrain","Bangladesh","Barbados","Belgium","Belize","Benin","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Chad","Chile","China","Colombia","Congo, Democratic Rep.","Costa Rica","Côte d'Ivoire","Croatia","Cyprus","Czech Republic","Denmark","Dominican Republic","Ecuador","Egypt","El Salvador","Estonia","Ethiopia","Finland","France","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Guyana","Haiti","Honduras","Hong Kong SAR","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Korea, Rep.","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Lithuania","Luxembourg","Macedonia, FYR","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Nigeria","Norway","Oman","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovak Republic","Slovenia","South Africa","Spain","Sri Lanka","Suriname","Swaziland","Sweden","Switzerland","Syria","Taiwan, China","Tajikistan","Tanzania","Thailand","Timor-Leste","Trinidad and Tobago","Tunisia","Turkey","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Venezuela","Viet Nam","Yemen","Zambia","Zimbabwe","NA","East Asia and Pacific","Middle East and North Africa","Latin America and the Caribbean","Europe and North America","Eurasia","Sub-Saharan Africa","South Asia"
3.707336664,3.813971281,NA,3.553596735,4.398590088,5.79898262,5.855538845,4.793101311,5.461427689,4.049973965,NA,5.744510651,NA,3.993293285,5.023224354,NA,3.177027702,5.087936878,4.310815334,4.395524025,3.509925842,NA,3.025770903,3.795317173,4.061708927,6.02844429,4.189829826,2.900053978,5.241500854,4.576170921,3.880996466,3.378881693,4.781502247,NA,3.630386114,4.521302223,4.630861282,5.909005165,3.892279863,3.283436537,3.929292917,3.499121666,5.405661583,4.201728344,6.57283926,5.374351025,NA,4.505004406,4.676917076,5.559359074,4.308449268,3.885504246,3.990796804,4.530303001,NA,2.673913002,3.769633293,6.177777767,3.304472923,5.903989315,4.359715462,4.618582249,3.846974373,5.976247311,5.551262856,4.025177479,4.588051319,6.069596291,4.90958786,4.090101719,4.579758167,4.936500072,4.62264061,3.520997286,3.897437096,4.036772251,4.181616306,3.650498152,3.768100262,NA,4.3424263,6.31340456,NA,3.140910864,3.896022558,5.359118938,3.622402906,5.127387524,2.564409733,4.890299797,3.974498034,3.303708553,3.649836063,4.003103733,4.697054386,3.695798635,NA,5.221902847,4.2146101,6.210576057,6.306760311,3.456521749,3.776537895,6.166893959,5.448880196,3.600881815,4.82429266,3.673887253,3.691268444,4.264635563,4.067349434,4.69164753,NA,5.595129967,4.384091377,3.592314005,5.472585201,5.051939011,4.27154398,3.356161833,4.425531864,3.570631504,6.356385708,4.135207176,4.379038334,4.515226841,4.650476933,4.143993855,NA,3.791666746,5.963413239,6.540697098,NA,5.589208603,4.454127312,4.085656643,4.092117786,NA,4.269255638,4.498170376,4.354489326,4.03963232,3.282494545,5.918199539,6.297552109,5.717282295,4.884263039,1.689625621,3.995908022,2.951680422,4.358272076,2.54095006,NA,4.93410936517647,4.6985218526,3.8964628279,4.93315558057895,4.01248354388889,4.00191561125,4.23206659183333
3.385708809,3.67675972,NA,3.734722376,4.006361008,5.810801506,5.906649113,4.778035641,5.036747456,3.202210188,NA,6.039073467,NA,3.643235922,4.674209595,NA,2.971775532,4.200028896,4.223909855,4.387471199,3.186425924,NA,3.159495592,3.052939653,4.520697594,5.810846329,3.857906103,2.886381388,4.380179405,4.498869896,4.02251339,3.396944523,4.847202301,NA,3.806608915,4.521169662,4.999854088,5.648696899,3.828113556,3.433802605,3,3.230345011,5.418524265,3.783354521,6.483170509,5.823334694,NA,3.768511057,3.658408403,5.739009857,4.061491966,4.272198677,3.827528477,4.061538696,NA,2.265306234,3.832090855,5.94382,4.028347492,5.665177345,4.414428234,4.539626598,3.453120232,5.85180521,5.911077499,4.434588909,4.375143051,5.810661316,4.711091518,3.951980591,4.355764389,4.401000023,3.855329275,3.263574362,3.789287567,4.07130003,3.248790979,3.527714491,3.472385883,NA,4.254849911,6.31508112,NA,3.380980968,3.325328112,5.299868107,3.683265209,5.026390076,3.029734135,4.416207314,4.088619709,3.545151234,3.23277545,3.581868887,4.404515266,3.180280924,NA,4.609871864,3.537302494,6.197001457,6.237275124,3.238095284,3.16109848,5.756080627,4.832936287,3.606512547,4.733503819,3.41259551,3.468714714,4.061264992,4.03947401,4.98210001,NA,5.687297344,4.588448048,3.668859243,5.177508831,4.843886375,4.299234867,3.338322878,3.510638237,3.382802963,6.242353439,4.292773724,4.715036392,4.81816864,4.546599865,4.171528816,NA,3.142857075,5.835482597,6.580216408,NA,5.187965393,4.216203213,3.729311705,3.460864067,NA,3.742595673,3.893240213,3.662080765,3.39033246,3.255640268,5.737546921,6.177067757,5.830866337,4.699986935,2.021147728,3.557842016,2.51782465,3.958655119,3.401592255,NA,4.67733449094118,4.32067758233333,3.7703058244,4.94168438407895,3.81602377366667,3.75916625559375,3.93436531233333
3.600127379,3.768234094,NA,3.61397194866667,4.26784706133333,5.80292224866667,5.872575601,4.788079421,5.31986761133333,3.76738603933333,NA,5.84269825633333,NA,3.87660749733333,4.906886101,NA,3.108610312,4.79196755066667,4.281846841,4.39283974966667,3.402092536,NA,3.07034579933333,3.54785799966667,4.21470514933333,5.95591163633333,4.079188585,2.895496448,4.95439370433333,4.55040391266667,3.928168774,3.38490263633333,4.803402265,NA,3.68912704766667,4.521258036,4.753858884,5.822235743,3.870891094,3.33355855966667,3.61952861133333,3.40952944766667,5.40994914366667,4.062270403,6.54294967633333,5.524012248,NA,4.259506623,4.337414185,5.61924266833333,4.22613016733333,4.01440238966667,3.93637402833333,4.37404823266667,NA,2.537710746,3.79045248033333,6.09979184466667,3.545764446,5.824385325,4.37795305266667,4.59226369866667,3.71568965933333,5.93476661066667,5.67120107033333,4.16164795566667,4.51708189633333,5.98328463266667,4.84342241266667,4.044061343,4.50509357433333,4.75800005566667,4.366870165,3.43518964466667,3.861387253,4.04828151066667,3.87067453033333,3.609570265,3.66952880233333,NA,4.31323417033333,6.31396341333333,NA,3.220934232,3.705791076,5.339368661,3.64269034033333,5.093721708,2.719517867,4.73226896933333,4.01253859233333,3.38418944666667,3.51081585866667,3.86269211766667,4.599541346,3.523959398,NA,5.01789251933333,3.988840898,6.20605119033333,6.283598582,3.38371292733333,3.57139142333333,6.02995618166667,5.24356555966667,3.60275872566667,4.794029713,3.58679000533333,3.61708386733333,4.19684537266667,4.058057626,4.78846502333333,NA,5.625852426,4.45221026733333,3.61782908433333,5.374226411,4.98258813233333,4.28077427566667,3.35021551466667,4.12056732166667,3.50802199033333,6.31837495166667,4.18772935866667,4.49103768666667,4.61620744066667,4.61585124366667,4.15317217533333,NA,3.57539685566667,5.92076969166667,6.55387020133333,NA,5.45546086633333,4.374819279,3.966874997,3.88169987966667,NA,4.09370231633333,4.29652698833333,4.12368647233333,3.82319903333333,3.27354311933333,5.85798199966667,6.25739065833333,5.75514364233333,4.822837671,1.80013299,3.84988602,2.80706183133333,4.22506642366667,2.82783079166667,NA,4.84851774043137,4.57257376251111,3.8544104934,4.93599851507895,3.94699695381481,3.92099915936458,4.132832832
3.09098196,3.190190554,NA,2.385326147,3.658169508,5.681948662,4.747853279,4.34523344,5.194550514,3.404733658,NA,4.9373312,NA,3.010822296,5.099053383,NA,2.507858992,4.110432625,1.847731948,4.880488873,2.927433252,NA,2.882750273,3.228228569,2.369113684,5.447397709,3.901101828,1.841724396,4.267950058,4.136917591,2.144622326,2.616457462,3.595014572,NA,2.809631824,3.981706142,2.90035677,5.729779243,1.846637964,2.16461134,4.02020216,2.148125172,4.635671616,3.87062645,6.348875999,4.967590332,NA,4.050227165,4.025844574,5.23393774,3.171818733,3.272145271,2.335998535,2.369230747,NA,2.200000048,2.473459959,5.756097794,2.6179564,5.442246437,4.553115368,4.188548565,3.51436162,5.6585145,4.783722878,3.294261694,3.477769613,5.327579498,4.986893177,3.359000444,3.171389341,3.753499985,3.968306541,3.182658672,4.057385921,3.165024042,2.920799255,3.477124691,3.442573071,NA,3.573611736,5.966542721,NA,2.245027781,2.541590691,4.723275185,3.176509857,4.14859724,3.017328501,4.025972366,2.202943087,2.433997869,2.676679373,3.697588921,4.033940315,2.268731833,NA,3.729918718,3.477903843,5.996862888,6.454245567,2.822222233,2.08709836,5.936862946,4.772736073,3.536255121,2.815476894,1.957193971,2.455195427,2.749931097,3.759879589,4.105229378,NA,6.056770802,3.116277456,3.225263119,5.483071327,5.260435581,3.421859741,3.148593664,3.127659559,2.883328199,6.161480904,2.463569641,3.494298935,2.617086172,2.952208042,3.521127939,NA,3.625,5.712706089,5.960083961,NA,4.61977005,4.482106686,3.378317356,3.252496481,NA,2.827207565,4.134693623,4.330056667,2.469537735,2.4425776,6.170895576,5.832336903,5.170521736,4.255925179,1.251103401,3.678542852,2.519864082,3.099030733,2.485735416,NA,4.43100688041176,4.36855751673333,2.57372577195,4.2916416556579,3.46165021244444,3.12400615959375,3.932031552
3.26639533,2.824241161,NA,1.923173785,3.231405497,4.635008335,4.146927357,4.65460968,4.543157101,2.274816275,NA,4.204591751,NA,2.24535799,4.540268421,NA,1.923409343,3.672951221,1.324436545,4.238534927,2.63022089,NA,3.334472656,2.916214228,2.916423082,4.97692585,3.619915009,2.353211641,3.035134077,4.465283394,1.729833007,2.379808426,3.202897787,NA,1.981451392,2.78682971,2.575603485,5.108123779,1.464212537,1.577710867,3.01010108,1.473730445,3.768507957,3.732903957,5.804980755,3.646101236,NA,3.923476458,2.910922289,5.135063171,3.421085596,2.18542695,1.730115175,2.815384626,NA,1.921568632,2.108576536,4.777777672,2.224167585,4.632932186,4.188838482,3.704645395,3.446010113,4.639569759,3.443943262,1.856010795,2.711136341,4.506433964,3.749042034,3.761113405,2.741256714,2.526409149,2.973433256,2.836815596,3.896191835,2.346940517,1.672821164,3.22542429,2.887694359,NA,2.807549,5.608252525,NA,2.391493797,1.91825819,4.270115376,3.158230305,2.909358263,3.317073822,3.055295467,1.692709565,2.041441679,1.705481172,3.22474432,3.401965141,2.414827824,NA,3.473350763,1.907218933,5.630042076,6.056963444,1.666666627,1.593057275,5.71032095,4.693422794,3.185332775,2.148827076,1.491710544,1.696618438,2.180119991,2.261898756,3.210777521,NA,5.918648243,2.027772665,3.430124044,5.433246136,5.161040306,3.088763952,2.634832859,2.804347754,2.865064859,6.420115948,2.141953707,2.494814873,2.01327014,2.240394831,2.379601002,NA,2.959183693,5.239536285,5.53970623,NA,4.137922764,4.247299671,3.453531742,2.250420094,NA,2.072333097,2.908048868,2.947198153,2.308867216,2.524277925,6.306005001,4.814757824,4.846437454,4.350058079,1.567579865,3.550947428,2.011848688,2.832817078,1.58891499,NA,3.89638735976471,3.7375818808,2.04445145125,3.5823823181579,3.29311219844444,2.935592532125,3.07934598133333
3.9157890798,3.3751604556,NA,3.3127934454,4.1193157196,6.2159104348,5.9031054498,4.0660324574,5.625847435,2.5368641378,NA,5.6808349608,NA,2.4184991836,4.9272405622,NA,3.4367488862,4.4049190046,3.1433673382,5.2207515716,3.5067639828,NA,3.052461195,3.0329415798,2.8672052384,5.9565402984,4.0575862884,2.083369112,5.5420203206,4.5231762884,3.337676859,2.501627922,4.2923486234,NA,3.7804167746,4.5977772236,4.6635396482,6.3741784096,2.963622141,3.329059434,4.2035965442,3.1904893876,6.0515421868,3.2354351522,6.7639837266,5.5802466392,NA,4.2560449598,5.4484591482,5.4813482284,3.2100189686,4.0287190438,3.6771174908,2.2524079798,NA,2.3293699262,3.3706592084,6.3260902408,4.1901497842,6.5619853018,4.3886582376,3.8195626258,3.5736249446,6.1315767288,5.6613072398,4.3487235546,3.933691883,6.0918598178,4.709823513,3.8266785144,3.3702596662,4.6745681762,3.881515789,2.8128445626,4.0724408626,4.301360464,2.8300376416,2.52041111,3.543159008,NA,4.9356423378,6.4488903048,NA,2.437947321,3.1118991374,4.8407078742,2.3903256418,4.6974066734,2.2600211618,4.5824723242,3.1734245776,3.065079546,3.5937081336,3.963209343,3.7016053676,2.8735449792,NA,4.1583802224,2.9299791812,6.2111532212,6.6775453566,3.0280808446,2.779512787,6.3123750686,5.213553524,3.2265355586,3.8220548154,2.7817684652,3.444728613,2.9233890534,4.7897157192,5.1025842668,NA,6.3068226814,3.9794900894,3.7806508066,5.7080636024,5.3425369262,3.5772577288,3.8552895546,3.5565217972,2.6935332298,6.6596051216,3.6773318768,4.9460066798,3.3847534658,4.7317348958,3.5368854524,NA,4.6848825932,6.019080925,6.3709841728,NA,5.6464522364,4.201317501,3.2354985714,3.841454458,NA,3.3468588352,3.4705670358,4.3232225418,2.9884407044,3.1596218108,6.4469482422,6.0500431058,5.211035633,5.4956828118,2.3346013546,3.0996047974,2.2988485096,3.0950664044,3.251438427,NA,4.77998638994118,4.44278638997333,3.49247081875,5.07580333635789,3.83111111851111,3.26696765274375,3.5910271883
3.42438878993333,3.12986405686667,NA,2.5404311258,3.66963024153333,5.5109558106,4.93262869526667,4.35529185913333,5.12118501666667,2.73880469026667,NA,4.94091930393333,NA,2.55822648986667,4.85552078873333,NA,2.62267240706667,4.06276761686667,2.1051786104,4.77992512386667,3.02147270826667,NA,3.089894708,3.0591281256,2.71758066813333,5.46028795246667,3.85953437513333,2.092768383,4.2817014852,4.3751257578,2.404044064,2.49929793666667,3.6967536608,NA,2.85716666353333,3.7887710252,3.37983330106667,5.7373604772,2.09149088066667,2.35712721366667,3.7446332614,2.2707816682,4.81857391993333,3.61298851973333,6.30594682686667,4.73131273573333,NA,4.07658286093333,4.1284086704,5.28344971313333,3.2676410992,3.16209708826667,2.58107706693333,2.47900778426667,NA,2.15031286873333,2.6508985678,5.61998856893333,3.01075792306667,5.54572130826667,4.37687069586667,3.90425219526667,3.51133222586667,5.4765536626,4.62965779326667,3.16633201453333,3.374199279,5.3086244266,4.48191957466667,3.6489307878,3.09430190706667,3.65149243673333,3.607751862,2.94410627686667,4.00867287286667,3.271108341,2.47455268686667,3.07432003033333,3.291142146,NA,3.77226769126667,6.0078951836,NA,2.35815629966667,2.52391600613333,4.61136614506667,2.90835526793333,3.9184540588,2.86480782826667,3.88791338573333,2.35635907653333,2.51350636466667,2.65862289286667,3.62851419466667,3.71250360786667,2.51903487873333,NA,3.7872165678,2.7717006524,5.94601939506667,6.39625145586667,2.5056565682,2.15322280733333,5.98651965486667,4.89323746366667,3.31604115153333,2.9287862618,2.0768909934,2.532180826,2.61781338046667,3.60383135473333,4.1395303886,NA,6.09408057546667,3.04118007013333,3.4786793232,5.54146035513333,5.25467093773333,3.3626271406,3.2129053592,3.16284303673333,2.81397542926667,6.4137339912,2.7609517416,3.6450401626,2.67170325926667,3.3081125896,3.14587146446667,NA,3.75635542873333,5.65710776633333,5.95692478793333,NA,4.80138168346667,4.310241286,3.35578255646667,3.11479034433333,NA,2.7487998324,3.50443650893333,3.86682578726667,2.5889485518,2.7088257786,6.3079496064,5.56571261093333,5.07599827433333,4.7005553566,1.7177615402,3.44303169246667,2.27685375986667,3.00897140513333,2.442029611,NA,4.36912687670588,4.18297526250222,2.70354934731667,4.31660910339123,3.5286245098,3.10885544815417,3.53413490721111
2.600933075,3.512022495,NA,3.21381402,3.320427179,6.260157108,5.590513229,4.406131744,5.093537807,3.333307266,NA,5.610249519,NA,3.01139617,4.695501804,NA,2.849030972,4.205746651,4.105398655,4.092839241,2.995165825,NA,2.256916761,2.620074511,3.058758259,6.189047337,4.263522148,2.069797993,4.863894939,4.493937492,2.961309433,2.390970707,5.353446007,NA,2.892610788,4.655171871,4.496427059,6.141765594,2.335170746,1.698349118,5.123711109,3.234446049,5.703444958,3.683384418,6.818478107,5.277488232,NA,3.760632753,3.570064068,5.516487122,4.618175507,3.815505028,3.550706863,2.5,NA,2.423076868,2.659199715,6.112359524,3.155534983,5.772411823,4.360141754,4.365988255,3.627698183,6.28598547,6.058706284,4.009615421,4.841148376,6.031716824,4.955366135,3.636897326,4.233834267,3.79399991,4.616882801,3.11417222,3.831852913,3.624439955,3.053184509,3.755589485,3.308148146,NA,4.214519978,6.184063911,NA,2.367701769,4.090743542,4.654864788,3.340900898,4.384338856,2.852657557,4.950538635,2.9034338,2.099289179,2.969969034,3.591267824,3.752216339,2.887750864,NA,5.277335644,4.01249361,6.445518017,6.708478928,1.581395388,3.625079393,6.562066078,4.654793739,3.628576756,2.78435564,2.094982386,3.020799637,3.558771372,3.222863913,4.916653156,NA,5.302807331,3.877527237,3.518386841,5.568830013,5.197068214,3.701550722,2.827715635,4.021276474,2.924029827,5.675037861,2.787404776,3.718226671,4.910336494,4.160800934,3.918227434,NA,3.571428537,6.121313095,6.514784336,NA,4.452076912,4.444259167,3.845591784,4.077869415,NA,4.486846924,3.819374084,3.062391758,3.418680429,2.347921133,5.777108669,6.346134663,5.510239124,5.587480068,1.130060315,3.602661848,2.50491786,3.403257132,2.985110044,NA,4.54721505505882,4.46995970393333,3.24146574735,4.69600358763158,3.38417209522222,3.58936478196875,3.99137477066667
2.944446087,3.14345789,NA,2.5992589,3.370867014,4.470769405,3.799562693,4.358206749,4.290246487,2.449673414,NA,4.082455635,NA,2.929541588,3.956949711,NA,2.343046665,3.390538454,2.344822407,3.71766305,2.71428442,NA,2.913512468,2.861380816,2.656397343,4.176828861,3.278369665,2.389909744,3.615400314,4.495484352,2.195029736,2.802568674,3.399946451,NA,2.140748262,3.003981352,2.622027636,4.893956661,1.702473283,1.802834749,3.50515461,1.818172336,4.172663689,3.605924845,5.579910755,3.965304613,NA,3.740522861,3.292599916,5.034625053,3.03695178,2.633468151,2.408438206,3.599999905,NA,2.09803915,2.449069262,4.877777576,1.909095645,4.3811059,4.289358139,3.979525805,3.58033061,4.598390579,3.684044838,2.201924562,2.916062593,4.842044353,3.683271885,3.022249699,2.919260263,2.895499945,2.916224003,2.828839064,3.736981392,2.482548714,2.035713673,3.220206976,3.038160563,NA,2.921868086,4.886658192,NA,2.600419283,2.25793004,4.386309624,3.095016003,2.764455318,3.026326656,3.207075834,1.997561932,2.113066673,1.90185678,3.236226082,3.407066584,2.386715889,NA,2.938001871,2.571492195,5.496426105,5.647755146,2,2.070115805,4.943286419,3.932065487,3.216407061,2.574044704,2.165104628,2.309848547,2.469260931,2.837882757,3.572722673,NA,5.501958847,2.246940374,3.068697929,5.040595531,4.535509586,3.226475477,2.473482132,2.617021322,2.599147558,5.854832649,1.943740726,2.786108971,2.013782978,2.887721062,2.630792141,NA,3.326530695,5.385028362,5.283224583,NA,4.169384003,3.754694223,3.436846972,3.016771078,NA,2.18294692,3.304486036,2.892303467,2.590437174,2.364397287,5.713161945,4.548911572,4.574233532,4.038131714,1.49272728,3.293946743,2.236216545,2.67517972,1.883558989,NA,3.91866139105882,3.6979272684,2.4054956556,3.56214727226316,3.13040206155556,2.9535325914375,3.18577877683333
2.772689581,3.3277401925,NA,2.90653646,3.3456470965,5.3654632565,4.695037961,4.3821692465,4.691892147,2.89149034,NA,4.846352577,NA,2.970468879,4.3262257575,NA,2.5960388185,3.7981425525,3.225110531,3.9052511455,2.8547251225,NA,2.5852146145,2.7407276635,2.857577801,5.182938099,3.7709459065,2.2298538685,4.2396476265,4.494710922,2.5781695845,2.5967696905,4.376696229,NA,2.516679525,3.8295766115,3.5592273475,5.5178611275,2.0188220145,1.7505919335,4.3144328595,2.5263091925,4.9380543235,3.6446546315,6.199194431,4.6213964225,NA,3.750577807,3.431331992,5.2755560875,3.8275636435,3.2244865895,2.9795725345,3.0499999525,NA,2.260558009,2.5541344885,5.49506855,2.532315314,5.0767588615,4.3247499465,4.17275703,3.6040143965,5.4421880245,4.871375561,3.1057699915,3.8786054845,5.4368805885,4.31931901,3.3295735125,3.576547265,3.3447499275,3.766553402,2.971505642,3.7844171525,3.0534943345,2.544449091,3.4878982305,3.1731543545,NA,3.568194032,5.5353610515,NA,2.484060526,3.174336791,4.520587206,3.2179584505,3.574397087,2.9394921065,4.0788072345,2.450497866,2.106177926,2.435912907,3.413746953,3.5796414615,2.6372333765,NA,4.1076687575,3.2919929025,5.970972061,6.178117037,1.790697694,2.847597599,5.7526762485,4.293429613,3.4224919085,2.679200172,2.130043507,2.665324092,3.0140161515,3.030373335,4.2446879145,NA,5.402383089,3.0622338055,3.293542385,5.304712772,4.8662889,3.4640130995,2.6505988835,3.319148898,2.7615886925,5.764935255,2.365572751,3.252167821,3.462059736,3.524260998,3.2745097875,NA,3.448979616,5.7531707285,5.8990044595,NA,4.3107304575,4.099476695,3.641219378,3.5473202465,NA,3.334896922,3.56193006,2.9773476125,3.0045588015,2.35615921,5.745135307,5.4475231175,5.042236328,4.812805891,1.3113937975,3.4483042955,2.3705672025,3.039218426,2.4343345165,NA,4.23293822305882,4.08394348616667,2.823480701475,4.12907542994737,3.25728707838889,3.27144868670312,3.58857677375
